,transcriptcomponentid,transcriptid,companyid,companyname,componenttext,Rating
332580,21626174,463004,30054660,Ditech Holding Corporation,Some of them have. Some of them are the funded loans that are on the balance sheet held for sale and some of them are pipeline loans that haven't closed yet. So it would not be inclusive of the expenses to be incurred for closing.,0
439149,29670621,667025,381997,Headwaters Incorporated,"So with that, we will go ahead and conclude the call. We like to thank you all for your participation.",0
1387435,76257909,1943128,30822601,"Northern Oil and Gas, Inc.","So on the bonds, obviously, what I said in my speech was pretty clear, Jeff, which is that, we compare the returns on capital to every single dollar we spend. Whether it'd be those bonds, whether it'd be the stock, whether it'd be investments in new properties. In terms of acquisitions, we may -- it's early, ask again later as the Magic 8 ball would say, but I think in the next 3 or 4 months, we will likely see some tremendous distressed opportunities. And to the extent that you can do those and they help your balance sheet and the overall corporate returns, then we'll consider everything. But we are economic creatures. We are numbers driven. We're not going to go and buy a bunch of properties, betting that oil prices go up tomorrow, because we don't know any better than the next guy. One of my mentors once said that, hardest thing to predict even more so than the stock market is the oil market, and here we are today. However, what I would say is everything is on the table. We obviously want to -- we are in an enviable position. We are far more protected than most. And we have a lot of cash coming in the door, and we want that cash to be the most productive it can be.",2
574255,40819900,961528,34952431,"Kinder Morgan, Inc.","I think that they're being cautious about their next move. I think they want to see -- generally, they're wanting to see some additional recovery and see some stability in that recovery. I also think that as a group, they've made themselves very, very flexible. I mean, they are updating their outlook and updating their decision-making. It's no longer an annual process. It seems like it's a biweekly process or something now as they're looking at things, which suggests that when they do decide to turn things back up, they'll be able to turn them back up relatively quickly. But look, as I said before, people signing up for a long-term multi-hundred million dollar or billion dollar infrastructure on the producer side, I just don't think that that's in the cards in the near term.",-1
505727,35203566,809487,6469353,"Scripps Networks Interactive, Inc.","Yes, this is Burton. Just to clarify, no, the ratings were off on Travel Channel compared to a year ago. I can tell you that, that wasn't unexpected. We made some schedule changes last year so we've got some difficult comps to the first and second quarters. We moved some programming more limited on our schedule that wasn't attracting the upscale audience that we want. So what's happening is, while the ratings have declined a bit, and a bit more than we expected in the first quarter to be honest, the audience composition has gotten better. And in fact, the median income has improved every quarter sequentially since we started making these moves. So just like I said before, Food Network, we have a lot of new programming coming on between now and the end of the year, the same is true with Travel Channel. And once we see that critical mass of new shows, along with the improved audience comp, we're very optimistic about Travel Channel for the rest of the year.",2
761096,48869751,1188741,368607,Fresh Del Monte Produce Inc.,"Jonathan, the Chilean business this year compared to 2015/'16 season is completely different. 2015/'16 season was good in 1 -- in 2 different ways. First, the quality of the fruit was excellent in that season, '15/'16. Secondly, the inventory of California was on the low side so -- and the fruit volume in Chile was shorter in general. So it was like a perfect scenario. Excellent quality, short volume and low inventory in California. And '16/'17 was the opposite completely. Bad quality because of rain and very bad weather conditions during the growing season in Chile. The inventory in California was record high and the quality was -- I mean, the volume was much higher than the previous year. So it was bad on all sides. The quality was bad. The volume was over the market needs and a lot of inventory in California. And that, in my opinion, is the case. I don't believe never -- we can never tell. But next season, which starts in December this year, could be a completely different scenario. However, in our case, we try to mitigate this by quality problems should go back to the grower pockets and not our pocket. So this is a business that every few years, you will get a hiccup, and we need to adjust as well because the red grapes usually -- now are not becoming a very favorable start -- I mean, to start the season, you have to start with more white grapes rather than red grapes because of the Californian inventories. So it's like a scenario where we have to live with every few years.",-1
1501482,83559605,2123382,299081,"Dynex Capital, Inc.","Sure. Yes. The implied -- what we're seeing today for November/December, December/January is implied funding rates between minus 50 and minus 60 basis points with repos trading in the positive 25-ish area. So it's a significant benefit.",3
1362486,75137699,1911766,528325,Moody's Corporation,"Maybe a big place for me to start is really just to put things in context. So certainly, over the last 5 years, free cash flow exceeded more than 100% of our net income number. If I look at 2019 and 2020 and I start with the 2019 number of approximately $1.6 billion for free cash flow, that looks like a 9% growth rate to the midpoint of our 2020 guidance, which is $1.75 billion. 
However, there are 2 adjustments that are definitely worth considering to make it more of a comparable apples-to-apples viewpoint. And those relate to capital additions, which were relatively light in 2019 at $69 million vis-à-vis sort of the normal 100-ish run rate which we're expecting in 2020. 
And the second impact relates to incentive compensation. Now just a quick reminder here. 2018 incentive compensation is paid usually in the first quarter of the following year, so in this case, first quarter of 2019. And that amount was $169 million. For 2019, the incentive compensation is paid in the first quarter of 2020, and that amount is $237 million. So if you adjust for both capital additions and incentive compensation, the underlying growth rate in free cash flow is around 15%, which is higher than the adjusted EPS growth rate of 11% at the midpoint, and that's something we as a management team feel very comfortable with.",3
1524384,90907348,2382598,112302,"AutoNation, Inc.",So it's -- this is Mike Jackson. If I will -- I think we've already expressed what we think on that question in the second quarter. We repurchased 9% of AutoNation. So I bought 9% of AutoNation rather than doing a lot of acquisitions that I thought were overpriced.,1
1088686,63174107,1601966,275573,"National Retail Properties, Inc.","And Spenser, you asked about vacant -- about leasing kind of sentiment out there, and I would say that it's been consistent. We're not seeing anything that would lead us to feel like it's much harder or whole much easier than it's been in the past. Our leasing team is working all of these assets. And any particular quarter is kind of a small sample set. But they -- the market feels like it's about the way it's been in the past.",1
615935,42974545,1020026,388763,Enterprise Products Partners L.P.,"This is R.B. The facility's operating very well. It's just a function of the weakness in -- on the refined product side, the pricing, the gasoline pricing, thus MTBE pricing is low. But operationally, it's performing very well.",-1
948590,57333057,1440969,25981,Callaway Golf Company,"I do, and the only reason I hedge that a little bit is because we are making further changes in the plant later this year in other areas. So we are going to digest these changes and we'll be improved in that area, and then we are putting in more. And obviously, we believe these are good investments that are going to pay off for us in the long run. But there is a step 2 coming that we'll also be digesting at that point.",1
371272,24707586,539208,34074951,Noranda Aluminum Holding Corporation,"We should think about it as being more front-end loaded, but as is typical with our CORE productivity program, we don’t forecast or anticipate exact percentages in terms of the ratability.",0
755934,48718823,1184468,267906,Duke Realty Corporation,"I think it's a combination of a little bit of conservatism because it is so early in the year. It was fairly easy for us to make the other adjustments, given how strong a start we had. There's still a handful of variables out there, and I think we'd like another quarter under our belt before we seriously readdress that.",1
993754,60047302,1518412,401541,Lennox International Inc.,"Our HVAC business was down just because of lumpiness of a couple of major customers. So significant piece of business that we did last year didn't repeat this year. Our Refrigeration business was up nicely. We think Western Europe is where we play predominantly. France, Spain, Germany, we think it's going to be up low single digits and we think that will remain for the balance of the year. But again, I always use the phrase that we just have a small PO on this market. We serve portions of it and -- but the portions we're serving, we're cautiously optimistic for the balance of the year.",2
1497907,84793913,2158148,168569,American Airlines Group Inc.,It is something we would consider as we look out to planning for 2021 and see where our cash needs are. But it is something we would consider.,0
507957,35484223,817983,251230,"Applied Materials, Inc.","Inflections in the DRAM business going forward that you have in 3D NAND and you have certainly in the FinFET technologies. There are -- the 3D NAND, the litho CapEx is declining and the areas that we're participating in are going up a significant amount. And so we have an opportunity there with not only the CapEx increase, but more of the CapEx being spent on our area of the market, a significant change from what was there in the planar technology node. And the same thing is true on the FinFET technology. Again, that really leverages our materials engineering, some of our strongest products as those technology inflections are happening. So the DRAM opportunity is a good one for us, but it's not the same order of magnitude driver for us as the transition to 3D NAND and FinFET. That's my feeling.",1
150871,13221431,265391,391396,"EXCO Resources, Inc.","Yes, we haven't done it, but we're sure prepared for it. We have spent a lot of time with JPMorgan and all their engineers. We have an annual bank meeting that we just had. I think depending on gas, we polled our top 9 banks and what we're trying to do is figure out what their price decks are. And they, seriously, they range from $2.50 for this year up to $3.50 for this year. We think if it comes in at $2.75, $3, like Steve said, we think it'll end up around 1.4. And I think that will be easy to do and we've had that indication. But we have been in discussions since November. Our meeting, I think is set for April, is that right? Yes. Our meeting's set for April. Any banks, they have our reserves already and we're working our way through it and anybody that wants to come in and I'd go over it in detail, the door is open.",1
52419,8208068,124064,192089,YRC Worldwide Inc.,"I think you're right, Tom. It's all of the above. And I would say that if we just stay on the trends we're currently on, we'll be back in, in sort of more normal historical performance categories relatively soon.",1
121646,12433427,211971,94728,"Teradyne, Inc.","Yes, it was. The $28 million is under our watch. It was actually a little over $30 million; maybe $31 million to $32 million. It was a full quarter and we didn't have these GAAP purchase write-downs for service deferred revenue. But yes, it was profitable.",1
1267539,70606582,1803377,33402796,"KAR Auction Services, Inc.","Yes. So as we think about it, we continue to monitor transportation. Transportation is probably the #1 incentive that we use for our buyers. And at one point in time, we were transporting cars different distances, and we were providing different incentives. We continue to tweak that, and we tweak that on a market-by-market basis. And I think that's probably the biggest motivator for buyers to want to buy more cars on TradeRev.",0
114737,12125033,205186,299095,RPM International Inc.,"I don't have that number handy, Rosemarie. I think it's disclosed in our 10-K, but we can get back to you on that.",0
566863,39910337,936733,286798,MGM Resorts International,"Great. Well, thank you all for participating. We went over a little bit, so we apologize for that. But we appreciate your participation today and we'll be around all day for any follow-up questions. So thank you and have a great day.",0
480511,34222396,784451,338134,Eagle Materials Inc.,"We have found a way to make that happen, that's correct.",0
1066885,62460304,1582463,33174798,"Fortune Brands Home & Security, Inc.","The inventory stuff we're doing is very modest, single-digit millions. Most of the free cash flow adjustment was driven by our income adjustment that you saw in the EPS, probably 85%, 90% or more of it. And that $45 million is roughly net of those inventory actions. That's kind of what we're sitting at.",1
31462,7272389,106930,108616,"The Interpublic Group of Companies, Inc.","I don't have that, Craig, with us. I think that way back, when we were addressing this issue and we talked about intra-quarter swings, we said intra-quarter swings were roughly $200 million $300 million. I think that trend, if you model that to the elevated cash balance we are, you could probably come up with a reasonable level. But we haven't gone back to look at that in any great detail.",1
