,Unnamed: 0,transcriptcomponentid,transcriptid,companyid,companyname,componenttext,Rating_x,Rating_y,
4,505727,35203566,809487,6469353,"Scripps Networks Interactive, Inc.","Yes, this is Burton. Just to clarify, no, the ratings were off on Travel Channel compared to a year ago. I can tell you that, that wasn't unexpected. We made some schedule changes last year so we've got some difficult comps to the first and second quarters. We moved some programming more limited on our schedule that wasn't attracting the upscale audience that we want. So what's happening is, while the ratings have declined a bit, and a bit more than we expected in the first quarter to be honest, the audience composition has gotten better. And in fact, the median income has improved every quarter sequentially since we started making these moves. So just like I said before, Food Network, we have a lot of new programming coming on between now and the end of the year, the same is true with Travel Channel. And once we see that critical mass of new shows, along with the improved audience comp, we're very optimistic about Travel Channel for the rest of the year.",2,-1,-1
35,70363,9684677,151115,514044,OfficeMax Incorporated,"Let me start, Brian. This is Bruce. So if you reflect back on what we talked about in Q1, we talked about some transitory items. Clearly those are, despite their nature, nonrecurring. We talked about supply chain deleveraging. We've seem to have gotten a better handle on that at least on the Retail side. We're still -- got significant fuel cost increases running through the P&L and in the back half, that should be on the order of about 50%. So supply chain is a continuous process of making sure that we can leverage. And then in the first quarter, we had some headwinds there. And then we talked about the promotional environment and what the promotional environment drove, including weather that forced us to make some moves in the technology category. So just refreshing on what happened in Q1 last year, I'm sorry, Q1 earlier this year and then compare that to what happened this year, this year in the second quarter, our promotional environment didn't have the same elements that we saw in the first quarter. Supply chain, in this case, was not nearly the headwind that it was in the first quarter and of course, we didn't have the transitory items. So mechanically, this quarter seems to me to reflect a little better, a little more normalized sort of approach to what Retail margins might be and I'll see if Ryan, do you want to comment?",1,-2,-2
38,828529,51740391,1279556,273861,"Elah Holdings, Inc.","Josh, maybe I'll start and Terry can echo. I think what we're just trying to be is reasonable with guidance, as we look at Europe, quarter-over-quarter, the last several quarters it's continued to outperform and we're at levels that from an EBITDA per ton standpoint that we haven't seen in 5-plus years. So we have the normal summer slowdown activity that we're sort of expecting to see out of Europe. I think we just wanted to be mindful of our commentary there. I don't think there's anything -- any dynamic in the market that is changed, that's giving us any cost for concern more just as we consider the business in the environment, one of those things where you just say can it continue to get better and better, we'd rather be a little more conservative from that side of thing. So, that's why we've got in the way we have with them again. Nothing that, I think, we've seen that directly is giving us that feel. Terry?",-1,2,1
58,312265,68888421,1759191,32012,"Netflix, Inc.","Well, it's been positive. The key use case is between kids and parents. Right now, parents will say that the experience is suboptimal because the kids' viewing is all through their profile. And the kids, similarly, don't necessarily want to see what their parents are viewing. So that's the biggest use case. So it'll be really be targeted at families.",3,0,2
60,672271,45021819,1075019,6628356,"PGT Innovations, Inc.","Yes, Keith, I would just add. You remember the last election, we were still in the very, very beginnings of a recovery. We were still coming out of a downturn, so very different dynamics, Marion, and also we've acquired 2 luxury brands, both WinDoor and the Estate series through CGI in the last 2 years so we don't have -- last election, we didn't have the high-end market like we have it now.",2,-1,1
71,938367,57021582,1433161,184945,Nucor Corporation,"Well, that certainly impacts -- that absolutely does impact the U.S. market. But I'd also add to it, we're coming into spring. The scrap flows a little bit better in the spring, but they're particularly obsolete. On the prime side, I've -- we'll take a little credit and brag on the fact that we think the DRI facility, running so well as it did in the first quarter, contributes to putting a cap on the prime scrap number. So yes, the reduced exports and the improved flow of scrap in the United States because of spring, we think that's the primary reasons that the obsolete will be stable to down. And given the DRI and other alternative materials coming into the country today, prime scrap we think will be pretty stable going forward also.",2,-1,1
79,553598,40671408,957944,177031,General Electric Company,"Just a couple of things. So what we do in China, there's been very little -- albeit a little bit more lately, the differences in exchange between the U.S. and China are pretty de minimis. A lot of our business, like Aviation, are dollar based. And then obviously, in Oil & Gas and in a number -- Energy Management and a number of our other business, we do work in local currency. And so Brazil -- where we're in Brazil and Europe, in the euro, we've had a little bit of a currency impact, and that's what you hear us reporting when we give you reported versus organic. On the orders front, I don't think we've seen that big an impact. And when you look at orders in the quarter, particularly in Power, orders price has been very, very good, very strong, particularly on the H turbine, largely because we're selling out slots.",2,-1,2
161,1526971,90293321,2363328,341546,"The Hartford Financial Services Group, Inc.","Yes. In the dollars, I would say you're right. I mean if you look at it from dollars. But if you are tracking deaths, which I know you are, like we are, I mean, the drop is significant. It's, from its peak, I calculated, down close to 75%. What I said in my commentary, Gary, is that severity is up so that if you look at the number of death claims, the average amounts that we're paying, it's up from, one, the beginning of the pandemic fairly significantly and it's up from the second quarter.
I would say we probably had 8 or 9 large losses above $1 million this quarter. When anyone -- excuse me, we probably had more than that. That was just in June. So we probably have had 15 or 20 large losses when you really expect for a month. So you put it all together. And when the younger folks' mortalities increase significantly, working age, they tend to carry larger face amounts, and we're seeing that come through in the dollars.
But as I ultimately try to foreshadow is that, and we've been talking about this consistently, is that the first half of '21 and the second half is going to be dramatically different so that deaths -- daily deaths are continuing to be down, and we do feel a lessening impact of excess mortality in the second half of the year.",2,-1,-1
233,1349430,74686496,1903127,340196,ResMed Inc.,"Yes. Thanks. John, yes, it was low this quarter, and we did benefit certainly from much lower litigation-related expenses this quarter relative to last year. So that did certainly moderate that growth rate.
In my guidance, I said I think we'll revert back to the range of 23% to 25% for the second half, which would suggest that we will track higher in terms of growth rates for SG&A, at least in the back half, but certainly helped by some reduction or significant reduction in litigation costs coming through this quarter relative to last year. It was probably the single biggest driver, and that certainly moderated the growth rate. And try to adjust for that in that kind of range that I've given as a percentage of revenue going forward to be a better indicator, I think.",-1,2,-1
242,585708,41371635,975134,278553,"Hornbeck Offshore Services, Inc.","Yes, it's correct. It just depends on how long the downturn is. As you know, whether it's our type of equipment with the vessels, the high-end vessels or the drillships or the semisubmersibles, we're all kind of in the same boat, excuse the pun. But getting qualified mariners for all that equipment will take some lead time. During the upcycle, we did pack the pipeline with a lot of qualified mariners, did a lot of training. This is still a great industry to come back to when it kicks back up again. But it is at a price, and it is at a cost. And that's why I think longer term, right now, the oil industry is really pushing down on the backs of the service companies to get cost down. But there's only so much cost we can really go down. 2/3 of our daily cost are crew. And that's in indicative throughout the industry. And if we shut it down and then we have to get these highly complimented, like you said, brain surgeons back. It's not going to be cheap. So that cost structure will go back up as the green shoots start and the industry comes back. But in the interim, it make absolutely no sense for companies to keep equipment in the market to subsidize the industry and just burn all of their crash because that's what's happening today. I think a lot more equipment needs to be stacked throughout the industry not just in the Gulf of Mexico but worldwide.",-3,0,-3
